Mode,EPSA1 & EPSA2,EPSA2 Heaters,EPSA3,OBC,S-BAND,X-BAND,ADCS,Payload 1,Payload 2,Payload 3,Payload 4,Payload 5,Payload 6
Detumble,Nominal,OFF,IDLE,HOUSEKEEPING,OFF,OFF,LAW 1 Detumble,OFF,OFF,OFF,OFF,OFF,OFF
Sun-Simple,Nominal,OFF,IDLE,HOUSEKEEPING,OFF,OFF,LAW 2 Sun-simple,OFF,OFF,OFF,OFF,OFF,OFF
Coasting,Nominal,OFF,IDLE,HOUSEKEEPING,OFF,OFF,LAW 4 Coasting,OFF,OFF,OFF,OFF,OFF,OFF
Observation,Nominal,OFF,IDLE,HOUSEKEEPING,OFF,OFF,LAW 3 Observation,OFF,OFF,OFF,OFF,OFF,OFF
GS-Tracking,Nominal,OFF,IDLE,HOUSEKEEPING,OFF,OFF,LAW 5 GS tracking,OFF,OFF,OFF,OFF,OFF,OFF
Sun-Pointing,Nominal,OFF,IDLE,HOUSEKEEPING,OFF,OFF,LAW 6 Sun pointing,OFF,OFF,OFF,OFF,OFF,OFF
S-Band,Nominal,OFF,IDLE,HOUSEKEEPING,RXTX,OFF,LAW 5 GS tracking,OFF,OFF,OFF,OFF,OFF,OFF
X-Band,Nominal,OFF,IDLE,HOUSEKEEPING,OFF,TX,LAW 5 GS tracking,OFF,OFF,OFF,OFF,OFF,OFF
S & X Band,Nominal,OFF,IDLE,HOUSEKEEPING,RXTX,TX,LAW 5 GS tracking,OFF,OFF,OFF,OFF,OFF,OFF
Propulsion Firing,Nominal,OFF,ON,HOUSEKEEPING,OFF,OFF,LAW 7 Propulsion,OFF,OFF,OFF,OFF,OFF,OFF
Payload Nominal,Nominal,OFF,ON,HOUSEKEEPING,OFF,OFF,LAW 3 Observation,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,OFF
Payload High,Nominal,OFF,ON,HOUSEKEEPING,OFF,OFF,LAW 3 Observation,HIGH,POST-LAUNCH,NORMAL,NORMAL,NORMAL,OFF
Imaging,Nominal,OFF,ON,High-Speed (x1 ETH),OFF,OFF,LAW 3 Observation,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,IMAGE
Readout,Nominal,OFF,ON,High-Speed (x1 ETH),OFF,OFF,LAW 3 Observation,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,READOUT